                                   	;",9;fhtagn.",4;him.,2;more.,2;dreaming.",2;impressions.,1;data.,1;Clay,1;abnormal.,1;Legrasse.,1;Sea,1;pattern.,1;follows:,1;it.,1;wonder.,1;Tartarus.,1;Them.,1;enough!,1;delight.,1;soul.,1;swamp.,1;variable.,1;lives.,1;Babylon.",1;air.,1;incidents.,1;Angell.,1;couplet:,1;address.,1;upset.,1;convexity.,1;meeting.,1;them.,1;madness.,1;now.,1;Them.",1;research.,1;text.,1;mammals.,1;eye.,1;.,1;Webb.,1;reality.,1;description.,1;affiliations.,1;horror.,1;fighting.,1;memories.,1;----------------------------------------------------------------------,1;ritual:,1;22-23.,1;fire.,1;man.,1;part.,1;superstition.,1;painting.,1;steam.,1;mind.,1;visions.,1;cotton.,1;water.,1;1925.,1;Follow.,1;faith.,1;disorder.,1;this:,1;age.,1;die.,1;about.,1;aloud:,1;hopeless.,1;uncle?,1;deliriously.,1;Legrasse.,1;background.,1;stone.,1;"R'lyeh.",1;away.,1;return.,1;before.,1;promises.,1;aboard.,1;China.,1;fountain-head.,1;hitherto.,1;boat.,1;Wilcox.,1;balauced,1;SEA,1;professor.,1;solution.,1;
identifying the                    	;hieroglyphics,1;
those descriptive                  	;of,1;
search of                          	;some,1;
stones and                         	;hesitated,1;
half the                           	;world's,1;
of prime                           	;significance,1;
which other                        	;Esquimaux,1;
green stone                        	;-,1;
institute an                       	;inquiry,1;
find any                           	;visible,1;
possess                            	;it.,1;
strain and                         	;weariness,1;
a naive                            	;sailor's,1;
a loss                             	;to,1;
the Alert                          	;under,1;gained,1;on,1;and,1;until,1;as,1;was,1;he,1;
on this                            	;monstrous,1;
abysmal antiquity                  	;hinted,1;
unpronounceable jumble             	;of,1;
one primal                         	;mystery,1;
expressing the                     	;sounds,1;
the sensation                      	;which,1;
I felt                             	;much,1;deeply,1;sure,1;
was delayed                        	;and,1;
unknown thing                      	;which,1;
the New                            	;Orleans,1;
and dreams                         	;are,1;in,1;
convinced the                      	;professor,1;
cloven sunfish,                    	;a,1;
closely locked                     	;barrier,1;
rectangular block                  	;or,1;
shrunken and                       	;gibbous,1;
of various                         	;persons,1;
desert of                          	;Arabia,1;
stirring and                       	;horrible,1;
place the                          	;frightful,1;
rebuke I                           	;thought,1;
the brief                          	;trip,1;
by Dr.                             	;Tobey,1;
number of                          	;extracts,1;an,1;
the one                            	;when,1;primal,1;
meant only                         	;this:,1;
of slimy                           	;green,1;
Negro fetishism                    	;was,1;
copy from                          	;an,1;
earth, for                         	;shapes,1;
nameless monstrosity               	;he,1;
Alert as                           	;the,1;
1st. Our                           	;Auckland,1;
of food                            	;for,1;
Johansen proceeded                 	;to,1;
worthy man.                        	;The,1;
and weed                           	;was,1;
a grassy                           	;island,1;
inscriptions which                 	;he,1;
though its                         	;impressionistic,1;
mind to                            	;correlate,1;
Portuguese from                    	;the,1;
memory never                       	;died,1;
existed and                        	;always,1;
but none                           	;might,1;
all lay                            	;in,1;
admission of                       	;membership,1;
avoid the                          	;erroneous,1;
there came                         	;the,1;
unbelievable tales                 	;extorted,1;
correct answering                  	;and,1;
more must                          	;be,1;
nineteen colleagues                	;plunged,1;
landscapes, and                    	;in,1;
He talked                          	;of,1;
picture in                         	;one,1;
thoroughly studying                	;the,1;
before even                        	;the,1;
New England                        	;for,1;
a month                            	;I,1;
mysterious allies                  	;no,1;
the correspondence                 	;in,1;
left alone                         	;again,1;
can pass,                          	;had,1;
of King                            	;Harold,1;
before ever                        	;the,1;
recall and                         	;record,1;
That my                            	;uncle,1;
crew of                            	;Kanakas,1;the,1;
theosophical books                 	;and,1;
soon saw                           	;enough,1;
crew on                            	;the,1;
position of                        	;everything,1;
was at                             	;a,1;
hillside which                     	;formed,1;
Alert, manned                      	;by,1;
must arise                         	;upon,1;
shake with                         	;the,1;
gigantic nameless                  	;thing,1;
wondered if                        	;all,1;
a sleeping                         	;memory,1;
have no                            	;part,1;
men assumed                        	;a,1;
was young.                         	;His,1;
mania, and                         	;eccentricity,1;
fulfiment" which                   	;never,1;
its sheer                          	;impressiveness,1;
horrified pause                    	;of,1;
against his                        	;party,1;
tow the                            	;battled,1;
comets tail,                       	;and,1;
waits and                          	;dreams,1;
position therein,                  	;that,1;
care of                            	;those,1;
That tenebrousness                 	;was,1;
the cult-members                   	;in,1;
non-Euclidean, and                 	;loathsomely,1;
or even                            	;hint,1;
leanings toward                    	;theosophy,1;
the April                          	;storm,1;
to suspect,                        	;and,1;
slightly ill-mannered,             	;which,1;
and hideous                        	;were,1;
the aurora                         	;leaped,1;
very sad.                          	;The,1;
appears that                       	;on,1;
more definite                      	;than,1;
utter mystery,                     	;terrible,1;
My attitude                        	;was,1;
some intelligence,                 	;and,1;
far from                           	;natural,1;modern,1;
right again,                       	;and,2;
of no                              	;slight,1;further,1;
the lovely                         	;olonial,1;
special information                	;unobtainable,1;
La., at                            	;1908,1;
months before                      	;in,1;
easy to                            	;know,1;
hung, head                         	;downward,1;
teach them                         	;new,1;
unknown and                        	;untraversed,1;
shifted. A                         	;reddish,1;
monolith, of                       	;course,1;
force of                           	;that,1;
we should                          	;voyage,1;
which might                        	;help,1;
half-delirious condition           	;and,1;
high" which                        	;walked,1;
he told                            	;the,1;it,1;
experience he                      	;would,1;
enemy and                          	;board,1;
by accident.                       	;After,1;
scene, she                         	;began,1;
and darkened                       	;with,1;
when other                         	;Things,1;
clear of                           	;trees,1;
through it                         	;track,1;
sufficient to                      	;entitle,1;
then that                          	;he,1;
were any                           	;men,1;
Harbour, having                    	;in,1;
of ruthlessness                    	;brought,1;
indeed, for                        	;I,1;
hills. In                          	;Auckland,1;
Winged Ones                        	;which,1;
of men.                            	;A,1;
earth again                        	;beneath,1;
their heads                        	;and,1;
We live                            	;on,1;
described -                        	;there,1;
for several                        	;among,1;
excited me                         	;afresh,1;
an odd                             	;picture,1;
his informant                      	;with,1;
his latter                         	;years,1;
of worshippers                     	;jumped,1;
which would                        	;freeze,1;
of trees                           	;and,1;
from Dunedin                       	;report,1;
l23DEG43', come                    	;upon,1;
Languages in                       	;Brown,1;
and immemorial                     	;lunacy,1;
survivor, and                      	;though,1;
told him,                          	;were,1;
possible his                       	;experience,1;
rumour and                         	;legendry,1;
the flabby                         	;claws,1;
He questioned                      	;the,1;
ambulance could                    	;reach,1;
the tablet                         	;implied,1;
Lost Lemuria),                     	;and,1;
his stone                          	;vault,1;
navigate after                     	;the,1;
but before                         	;the,1;
I am                               	;inclined,1;
cult around                        	;tall,1;
imagination among                  	;such,1;
earth might                        	;once,1;
fetish, or                         	;whatever,1;
thing except                       	;in,1;
of horror                          	;that,1;
there is                           	;mentioned,1;no,1;
elder gods                         	;and,1;
uttered alike                      	;by,1;
no dweller                         	;ventured,1;
until steam                        	;was,1;
the pertinent                      	;answers,1;
of spectral                        	;whirling,1;
way, so                            	;that,1;
deep waters,                       	;full,1;
days; but                          	;to,1;
opening it,                        	;but,1;
course of                          	;my,1;
stood trembling                    	;and,1;
rectangle less                     	;than,1;
course, strong                     	;corroboration,1;
dark courts                        	;on,1;
octopus-like head                  	;whose,1;
brass cannon                       	;forming,1;
begun its                          	;siege,1;incessant,1;
interest of                        	;my,1;
alternations of                    	;unconsciousness,1;
untouched. It                      	;was,1;
wounded ones                       	;were,1;
outline of                         	;the,1;
the bestial                        	;thing,1;
the water                          	;against,1;and,1;
Parker slipped                     	;as,1;
my uncle                           	;had,5;showed,1;formed,1;after,1;referred,1;was,1;enough,1;went,1;kept,1;attached,1;
The awful                          	;squid-head,1;
and rites                          	;and,1;
and infinitely                     	;more,1;
far too                            	;common,1;
singular clay                      	;bas-relief,1;
the faithfull                      	;to,1;
more freely                        	;than,1;
me that                            	;I,1;
sailed over                        	;the,1;
Museum in                          	;College,1;
or an                              	;Angarola,1;
the trees                          	;were,1;
in replying,                       	;for,1;
this test                          	;of,1;
case there                         	;is,1;
into its                           	;origin,1;
others were                        	;precisely,1;
- for                              	;did,1;some,1;
response to                        	;a,1;
the number                         	;of,1;being,1;
chose, especially                  	;the,1;
that lurk                          	;ceaselessly,1;
have since                         	;found,1;
eternity. They                     	;had,1;
and shouted                        	;of,1;
pocket. Then,                      	;indeed,1;
of March                           	;1st,2;22,1;22-23,1;
eddying and                        	;foaming,1;
ceased, and                        	;Wilcox,1;
has crystallised                   	;in,1;
the weird                          	;impressions,1;
Negroes and                        	;mulattoes,1;
one could                          	;read,1;
heavy storms                       	;and,1;
render by                          	;the,1;
men who                            	;never,1;
spring salon                       	;of,1;
the survivor,                      	;and,1;
had failed                         	;to,1;
must keep                          	;alive,1;
positive quality;                  	;for,1;
lumbered                           	;about.,1;
some subtlety                      	;to,1;
what a                             	;train,1;
purpose moved                      	;his,1;
immemorial lunacy,                 	;such,1;
did so                             	;seemed,1;
Being ordered                      	;peremptorily,1;
had latterly                       	;been,1;
His rule                           	;of,1;
without warning                    	;upon,1;
Lemuria), and                      	;the,1;
whatever monstrous                 	;menace,1;
prominent part                     	;in,1;
helped him                         	;to,1;
the storage                        	;shelves,1;
its contents.                      	;We,1;
what I                             	;thought,1;
meaning of                         	;the,1;
regard, but                        	;sought,1;
had described;                     	;and,1;
men. There                         	;were,1;
did remains                        	;to,1;
admit both                         	;his,1;
cult, of                           	;a,1;
hideous stone                      	;image,1;
passing at                         	;the,1;
besought the                       	;professor,1;
had formed                         	;part,1;themselves,1;
she began                          	;to,1;
and remains                        	;in,1;
had existed.                       	;The,1;
oral ritual                        	;among,1;
and laid                           	;it,1;
was disappointed                   	;to,1;
morbid habitation                  	;a,1;
exhaustive comparison              	;of,1;
long survived                      	;his,1;
gropingly squeezed                 	;Its,1;
London                             	;boat.,1;
shocking sounds                    	;and,1;
belonged to                        	;something,1;
where the                          	;trees,1;
floundering at                     	;the,1;
not preserved,                     	;but,1;
motive prompted                    	;the,1;
was, indeed,                       	;on,1;
it were                            	;obtuse,1;
those which                        	;Wilcox,1;tried,1;
to feel                            	;that,1;
disorder, but                      	;concluded,1;
went, so                           	;I,1;
considerations. The                	;statuette,1;
too much                           	;native,1;
March 23,                          	;the,1;
the heads                          	;of,1;
pause of                           	;the,1;
freshness of                       	;the,1;
it verbatim,                       	;was,1;
repulsiveness. It                  	;was,1;
stop to                            	;whatever,1;
be horrors                         	;of,1;
finding it                         	;a,1;
could plunge                       	;from,1;
paper in                           	;South,1;
eyes. It                           	;had,1;
so many                            	;worlds,1;
the extent                         	;of,1;
That glimpse,                      	;like,1;
to hear                            	;the,1;
in black                           	;answered,1;
bad enough;                        	;hence,1;
they mentioned                     	;only,1;
learned much                       	;now,1;
From that                          	;time,1;
Their images                       	;with,2;
even thought                       	;can,1;
dream bas-relief,                  	;but,1;
from theosophical                  	;books,1;
great wings,                       	;and,1;
who claimed                        	;to,1;
reembarked at                      	;once,1;
reading of                         	;a,1;
The time                           	;would,1;
whether or                         	;not,1;
genius and                         	;his,1;
recognized him                     	;as,1;
and knocked                        	;with,1;
loathsome shapes                   	;that,1;
Cthulhu Cult,                      	;and,1;
minutes the                        	;resultant,1;
is like,                           	;Johansen,1;
week of                            	;pointless,1;
been enough                        	;to,1;
events so                          	;carefully,1;
knew. This                         	;person,1;
"It is                             	;new,1;
the old                            	;data,1;papers,1;sea-taverns,1;house,1;writing,1;
evidence that                      	;it,1;
matter and                         	;perspective,1;
that telepathic                    	;instant,1;
and excited                        	;aspect,1;
files and                          	;boxes,1;
too, am                            	;at,1;
cutting bureau                     	;which,1;
some cryptic                       	;writing,1;
speech was                         	;transmitted,1;
of distance                        	;apart,1;
very close                         	;to,1;
to right                           	;in,1;
and astonishment                   	;by,1;
is true,                           	;have,1;
completely ignorant                	;of,1;
island trader,                     	;and,1;
structure or                       	;building,1;
captured some                      	;months,1;
huts, hove                         	;in,1;
office of                          	;Dr,1;
Dark, frail,                       	;and,1;
food for                           	;himself,1;
donning white                      	;robes,1;
been there;                        	;an,1;
the revelation                     	;or,1;
America, where                     	;a,1;
that on                            	;March,1;
my host                            	;adieu,1;
upon either                        	;cult,1;
carved door                        	;with,1;
sail in                            	;great,1;
images and                         	;hieroglyphs,1;
traditionally evil                 	;repute,1;
senses, told                       	;an,1;
idol, fetish,                      	;or,1;
excitement or                      	;exposure,1;
long and                           	;well,1;
the objects                        	;of,1;
on laughing                        	;at,1;
and air                            	;of,1;
I began                            	;to,1;
though apparently                  	;deserted,1;
was of                             	;a,3;portentous,1;no,1;comparatively,1;
repeated by                        	;Dr,1;
the six                            	;men,1;
inquires amongst                   	;nearly,1;
my uncle,                          	;in,1;failed,1;
my uncle.                          	;There,1;
during which                       	;he,1;faint,1;
was intensified                    	;by,1;
but behaved                        	;as,1;
all matter,                        	;force,1;
the earth                          	;a,1;poets,1;would,1;again,1;the,1;might,1;and,1;
was far                            	;from,1;too,1;
in some                            	;casual,1;indirect,1;way,1;widespread,1;
attached profound                  	;significance,1;
and under                          	;the,2;
of art                             	;belonging,1;
alone among                        	;the,1;
material. That                     	;tenebrousness,1;
Dunedin,                           	;N.Z,1;
says he                            	;found,1;
his visit,                         	;a,1;
was invariably                     	;a,1;
astonished to                      	;find,1;
head on                            	;against,1;
the shocking                       	;sounds,1;
unconsciousness and                	;delirium,1;
unrest toward                      	;the,1;
revolution as                      	;I,1;
to revive                          	;His,1;
bafflement, and                    	;which,1;
And yet,                           	;as,1;
for nightly                        	;reports,1;
mind! Here                         	;were,1;
a mere                             	;chance,1;
much with                          	;his,1;
His Possession.                    	;Inquiry,1;
water-line they                    	;managed,1;
God knows                          	;he,1;
the nameless                       	;monstrosity,2;
met and                            	;questioned,1;
is no                              	;language,1;
ages before                        	;there,1;
the shivering                      	;squatter,1;
shall ever                         	;reach,1;
too, I                             	;suppose,1;
save as                            	;gibberish,1;
of Inspector                       	;John,1;
- gave                             	;an,1;
person was                         	;the,1;
were far                           	;from,1;
business without                   	;rising,1;
bewilderingly over                 	;him,1;
having edited                      	;the,1;
and morals                         	;thrown,1;
mere chance                        	;which,1;
of ten                             	;scaffolds,1;
sailors at                         	;once,1;
No recognised                      	;school,1;
when he                            	;wrote,1;said,1;spoke,1;
precipitous hillside               	;which,1;
scenes and                         	;half-sounds,1;
what was                           	;known,1;
voodoo meeting;                    	;and,1;
Whether I                          	;shall,1;
apparent cause,                    	;and,1;
recognizing both                   	;hieroglyphics,1;
a dark                             	;cult,1;
They all                           	;lay,1;died,1;
and won                            	;the,1;
men sight                          	;a,1;
combined to                        	;create,1;
mongrels had                       	;made,1;
type of                            	;art,1;
of material                        	;which,1;
and whilst                         	;high,1;
of thoroughly                      	;usual,1;
navigate the                       	;captured,1;
died ashore,                       	;though,1;
and aged                           	;man,1;
a paper                            	;in,1;
unknown origin,                    	;about,1;
was all                            	;wrong,2;
I visited                          	;New,1;
muffled tom-toms.                  	;There,1;
shockingly frightful.              	;Behind,1;
unplaceable                        	;stone.,1;
Thing from                         	;the,1;
had set                            	;out,1;sail,1;
impressions of                     	;vast,1;
historic affiliations              	;of,1;
its stuccoed                       	;front,1;
pictures of                        	;an,1;
me his                             	;Oslo,1;
symbol, and                        	;through,1;
let fall,                          	;he,1;
to Providence                      	;to,1;
came, but                          	;his,1;there,1;
my continued                       	;distrust,1;
Francisco. In                      	;less,1;
note. Professor                    	;Webb,1;
of caverns                         	;in,1;
Johansen, thank                    	;God,1;
again beneath                      	;his,1;
among his                          	;mongrel,1;
his request                        	;seems,1;
howls and                          	;squawking,1;
in Norway                          	;a,1;
other. Animal                      	;fury,1;
this dictum,                       	;but,1;
and suspense                       	;lurked,1;
persons covering                   	;the,1;
had recognized                     	;him,1;
spoke in                           	;a,1;
", and                             	;the,1;
Eulogio Garcia                     	;Recalde,1;
garden-girdled                     	;Babylon.",1;
which excited                      	;and,1;
a chain.                           	;I,1;
Four of                            	;them,1;
it no                              	;more,1;
me an                              	;anthropologist,1;
heaven ever                        	;wishes,1;
with suspense                      	;and,1;
pathless desert                    	;of,1;
Latitude 47DEG9',                  	;W,1;
raved with                         	;fever,1;
unobtainable from                  	;any,1;
had ever                           	;seen,1;trod,1;really,1;known,1;
ring-shaped bonfire;               	;in,1;
begun just                         	;as,1;
sea-taverns. Waterfront            	;scum,1;
a second                           	;glance,1;
loss to                            	;determine,1;
New Jersey;                        	;the,1;
any ordinary                       	;man,1;
Co.'s                              	;freighter,1;
raiding-party, saw                 	;the,1;
a childless                        	;widower,1;
acute fear                         	;of,1;
these designs                      	;seemed,1;
lone sleeper                       	;had,1;
barn-door; and                     	;they,1;
well-drilled chorus                	;of,1;
whose utter                        	;strangeness,1;
to induce                          	;Johansen,1;
his men                            	;landed,1;had,1;were,1;
which even                         	;torture,1;
daemons, and                       	;must,1;
lovely olonial                     	;houses,1;
hysterical plunges                 	;from,1;
of modern                          	;origin,1;
a neat                             	;and,1;
opened graves,                     	;and,1;
claws before                       	;anybody,1;
This was                           	;all,1;that,1;
What it                            	;suggested,1;
carved shrine                      	;of,1;
had his                            	;strange,1;
is small                           	;wonder,1;
Johansen did                       	;not,1;
roughly set                        	;on,1;
wings behind.                      	;This,1;
Dream Landscape                    	;in,1;
human caricature,                  	;I,1;
came rescue-the                    	;Vigilant,1;
or wizard-priest,                  	;expressing,1;
strange cities;                    	;and,1;
eras from                          	;dark,1;
stung th                           	;disappointment,1;
of clothing,                       	;this,1;
was occurring                      	;in,1;
occasional rifts                   	;in,1;
noxious carven                     	;statuette,1;
who saw                            	;things,1;
be waiting                         	;to,1;
froth like                         	;the,1;
and jambs                          	;around,1;
if I                               	;do,1;live,1;
London, I                          	;reembarked,1;
religion whose                     	;discovery,1;
found that                         	;little,1;
or pedestal                        	;covered,1;
sight, in                          	;which,1;
Gammell Angell,                    	;Professor,1;
black answered                     	;my,1;
Capt. Collins                      	;and,1;refused,1;
dragon body,                       	;scaly,1;
which flaunts                      	;its,1;
why I                              	;continued,1;
Cthulhu waits                      	;dreaming,2;
What, in                           	;substance,1;
art belonging                      	;to,1;
young Wilcox                       	;had,2;with,1;of,1;
the Vigilant                       	;sailed,1;
after having                       	;been,1;
an initial                         	;move,1;
success his                        	;talent,1;
apparently very                    	;ancient,1;
professor's questioning            	;felt,1;
night before,                      	;the,1;
dreams. This                       	;bore,1;
that panic                         	;would,1;
mental                             	;disorder.,1;
and arranging,                     	;I,1;
with horrible                      	;images,1;
left six                           	;men,1;
thousand opened                    	;graves,1;
hope that                          	;no,1;
dates of                           	;any,1;
same thing                         	;whilst,1;
very place                         	;of,1;
of comparatively                   	;brief,1;
and lagoon                         	;country,1;
by taxicab,                        	;and,1;
connect the                        	;latter,1;
bobbing lanterns.                  	;The,1;
the dates                          	;of,1;
impressions appear                 	;here,1;
on February                        	;20th,1;
turned white                       	;after,1;
sun was                            	;young,1;
gone now,                          	;inside,1;
had seen                           	;the,1;
numerous are                       	;the,1;
their loathsome                    	;faith,1;
sudden death                       	;seized,1;
my summons,                        	;and,1;
and everyone                       	;was,1;watched,1;
wood. But                          	;of,1;
day of                             	;hurried,1;
for thought                        	;-,1;
come on                            	;a,1;
from California                    	;describes,1;
way to                             	;identify,1;
carried back                       	;by,1;
prove it?                          	;-,1;
questioning at                     	;Sydney,1;
shed no                            	;light,1;
men. A                             	;time,1;
reserve specimens                  	;roughly,1;
in order                           	;to,1;
Donovan, Guerrera,                 	;and,1;
so elderly                         	;a,1;
done                               	;hitherto.,1;
the terrible                       	;cypress,1;statue,1;reality,1;
The great                          	;stone,1;
tempest which                      	;must,1;
West Indians                       	;or,1;
professor. I                       	;hope,1;
of mankind's                       	;soul,1;
I believe,                         	;some,1;
the nauseous                       	;rout,1;
earth, and                         	;They,1;impious,1;
curious form                       	;of,1;
widely south                       	;of,1;
even questioned                    	;such,1;
Portuguese who                     	;climbed,1;
his dreams                         	;in,1;upon,1;
and think                          	;whilst,1;
policemen. Five                    	;of,1;
local source.                      	;His,1;
architect with                     	;leanings,1;
red glare                          	;and,1;
that none                          	;of,1;
mate's regret                      	;as,1;
Examined at                        	;headquarters,1;
weed was                           	;seen,1;
inside the                         	;earth,1;
the winter                         	;of,1;
over all                           	;the,1;
its conservatism,                  	;had,1;
influenced his                     	;art,1;
even hint                          	;at,1;
the deep                           	;waters,1;
his quarters                       	;in,1;revealed,1;
slunk away                         	;into,1;
Work of                            	;H,1;
vice-admiralty court,              	;the,1;
either cult                        	;or,1;
still were,                        	;and,1;
otherwise such                     	;as,1;
Bacchanal between                  	;the,1;
membership in                      	;some,1;
Angell was                         	;widely,1;
Emma's men                         	;shewed,1;
aged                               	;man.,1;
deliberations; and                 	;was,1;
with any                           	;known,1;
"Cthulhu                           	;fhtagn.",2;
the tainted                        	;outside,1;
members of                         	;the,1;
by now                             	;be,1;
- Dream                            	;and,1;
1925. It                           	;had,1;
what older                         	;celebrants,1;
on in                              	;silence,1;
the subsequent                     	;correspondence,1;
rough rectangle                    	;less,1;
Found Aboard.                      	;Tale,1;
uneasy but                         	;formless,1;
in prehistoric                     	;writing,1;
crystallised in                    	;clay,1;
insane shouts                      	;and,1;
Providence to                      	;see,1;
a sound                            	;that,1;
the monstrous                      	;shape,1;
went so                            	;far,1;
stones. It                         	;was,1;
and really                         	;significant,1;
suspense and                       	;astonishment,1;
set them                           	;aside,1;
heart, induced                     	;by,1;
try to                             	;navigate,1;
boxes to                           	;my,1;
an evil                            	;reputation,1;
first shewed                       	;convexity,1;
men had                            	;talked,1;arrested,1;
wrong, They                        	;could,1;
been stricken                      	;whilst,1;with,1;
strange fever?                     	;What,1;
exploding bladder,                 	;a,1;
the door                           	;of,1;
to whatever                        	;monstrous,1;
sold his                           	;cottage,1;
rationalism of                     	;my,1;
been hearing                       	;too,1;
danced when                        	;the,1;
idol? What                         	;was,1;
of some                            	;intelligence,1;Runic,1;kind,1;way,1;
ply his                            	;informant,1;
his awful                          	;dreams,1;
so far                             	;as,2;
scattered notes                    	;gave,1;
the note                           	;describes,1;
close watch                        	;of,1;
the deep,                          	;and,1;
odd dreams                         	;he,1;
University, the                    	;Royal,1;
came mainly                        	;from,1;
eye on                             	;a,1;
cut from                           	;the,1;
moment of                          	;really,1;
The carven                         	;idol,1;
had quickly                        	;instituted,1;
rambling tale                      	;which,1;
he kept                            	;on,1;
cases of                           	;vague,1;uneasy,1;panic,1;
digest. Average                    	;people,1;
stone pillar                       	;sticking,1;
that Inspector                     	;Legrasse,1;
common                             	;pattern.,1;
Johansen had                       	;returned,1;not,1;
pictorial design.                  	;Many,1;
vividness the                      	;damp,1;
knew nothing                       	;of,1;
and drawing                        	;mystified,1;
taken something                    	;out,1;
later after                        	;incessant,1;
Meanwhile the                      	;cult,1;
had visions                        	;of,1;
N.Z.,                              	;which,1;
"1925 -                            	;Dream,1;
meets no                           	;other,1;
were not                           	;composed,1;the,1;
it slunk                           	;away,1;
expert                             	;solution.,1;
angle of                           	;masonry,1;
not one                            	;link,1;
that bat-winged                    	;devils,1;
this morning                       	;at,1;
his talent                         	;promises,1;
theosophists and                   	;made,1;
to Inspector                       	;Legrasse,1;
The professor                      	;had,1;
time when                          	;the,1;
beside the                         	;bas-relief,1;
proved distractingly               	;imaginative,1;
the mate                           	;Johansen,1;
part in                            	;the,1;all,1;
Legrasse; and                      	;he,1;
dreams. Once                       	;more,1;
stilted manner                     	;which,1;
after incessant                    	;screamings,1;
that my                            	;connexion,1;somewhat,1;uncle's,1;
native unrest                      	;toward,1;
shape was                          	;not,1;
known and                          	;favoured,1;
them to                            	;place,1;
much material                      	;for,1;
dreams in                          	;a,2;the,1;
a half-delirious                   	;condition,1;
The writing                        	;accompanying,1;
imposture. Legrasse                	;for,1;
representing a                     	;monster,1;
round, for                         	;it,1;
men, having                        	;reached,1;
figure and                         	;exact,1;
largely given                      	;over,1;
it occurred                        	;to,1;
the manuscript                     	;ended,1;again,1;records,1;continued,1;
its origin                         	;and,1;
in a                               	;diagonal,1;strangely,1;tour,1;rear,1;dream,1;dreamy,1;manner,1;small,1;half-delirious,1;short,1;
suspect, but                       	;God,1;
during the                         	;given,1;proceedings,1;period,1;
calling from                       	;underground:,1;
outline, but                       	;with,1;
But I                              	;do,1;was,1;
blocks, at                         	;the,1;
There is                           	;a,1;
be any                             	;rest,1;
It was                             	;a,2;the,1;inside,1;voodoo,1;not,1;Rodriguez,1;owned,1;nothing,1;then,1;from,1;nightmare,1;
the relative                       	;position,1;
was always                         	;some,1;
evil-looking crew                  	;of,1;
precisely like                     	;him,1;
that little                        	;was,1;
well known                         	;there,1;
torture could                      	;not,1;
letters "Cthulhu"                  	;and,1;
extend its                         	;gratitude,1;
yacht, going                       	;ahead,1;
the dream-sculpture                	;of,1;
some obscure                       	;lesion,1;
and was                            	;virtually,1;one,1;probably,1;disappointed,1;visiting,1;now,1;
of hurried                         	;cabling,1;
7 Thomas                           	;St,1;
symbol representing                	;a,1;
find it                            	;of,1;
writing accompanying               	;this,1;
I thought                          	;the,1;with,1;proper,1;
adopt what                         	;I,1;
cult had                           	;cherished,1;failed,1;
rise again                         	;when,1;
even thousands                     	;of,1;
his offering                       	;created,1;
a hideous                          	;picture,1;stone,1;Victorian,1;
none is                            	;known,1;
curiosity; and                     	;it,1;
few moments                        	;of,1;
trapped by                         	;the,1;
had at                             	;the,1;
notion of                          	;even,1;
though privately                   	;I,1;
survived. Old                      	;Castro,1;
from chidhood                      	;excited,1;
ran something                      	;like,1;
the prisoners                      	;were,1;said,1;all,1;
geometry, he                       	;oddly,1;
new treasuries                     	;of,1;
screams, soul-chilling             	;chants,1;
carriages and                      	;an,1;
of which,                          	;revealed,1;incongruous,1;
loose them                         	;upon,1;
eldritch contradictions            	;of,1;
case, which                        	;the,1;
could never                        	;like,1;
part of                            	;the,3;that,1;his,1;
companion boarded                  	;the,1;
outre mental                       	;illness,1;
road they                          	;alighted,1;
his side.                          	;He,1;
But Johansen                       	;had,1;
learned friend                     	;in,1;
till his                           	;rescue,1;
extracts was                       	;tremendous,1;
The bas-relief                     	;was,1;
and completely                     	;ignorant,1;
voices would                       	;rise,1;
the hieroglyphics                  	;of,1;
he knew                            	;how,1;too,1;before,1;
the horrors                        	;that,2;
man who                            	;had,3;
a holocaust                        	;of,1;
gazing at                          	;the,1;
Town of                            	;King,1;
the ends                           	;of,1;
superior, because                  	;of,1;
hear the                           	;one,1;
flopped down                       	;the,1;
wgah'nagl                          	;fhtagn.",2;
trader, and                        	;bore,1;
rows of                            	;policemen,1;
hieroglyphs. I                     	;mention,1;
olonial houses                     	;on,1;
hideous a                          	;chain,1;
but what                           	;a,1;
the end.                           	;At,1;
the end,                           	;and,1;
and around                         	;which,1;
scientist agreed                   	;on,1;
circle that                        	;the,1;
pushed at                          	;the,1;
pit, all                           	;livened,1;
matters" was                       	;sufficient,1;
information unobtainable           	;from,1;
made the                           	;brief,1;sculptor's,1;
made; but                          	;in,1;
what Legrasse                      	;had,1;
tentacled head                     	;surmounted,1;
miserable huddle                   	;of,1;
Armed New                          	;Zealand,1;
one of                             	;the,6;traditionally,1;absolute,1;his,1;
Once more                          	;under,1;
of them                            	;had,2;accounts,1;citations,1;old,1;reeled,1;
deep, and                          	;decay,1;
aside and                          	;all,1;
them in                            	;the,1;
temperature, oddly                 	;enough,1;
queer clay                         	;bas-relief,1;
fixed my                           	;eye,1;
do justice                         	;to,1;
jottings, ramblings,               	;and,1;
sight; and                         	;hysterical,1;
more diabolic                      	;than,1;
a faith                            	;of,1;
bas-reliefs with                   	;the,1;
home and                           	;completely,1;
than the                           	;Greenland,1;shocking,1;storied,1;tangible,1;
masonry which                      	;shouldn't,1;can,1;
told by                            	;word,1;
Seaman Refuses                     	;Particulars,1;
would teach                        	;them,1;
only in                            	;his,1;
the men                            	;somehow,1;was,1;sight,1;wondered,1;
averred that                       	;the,1;
this direction.                    	;The,1;
only it                            	;could,1;
subconscious residuum              	;had,1;
guard her                          	;from,1;
